ID,first_party_winner
TEST_0000,1
TEST_0001,0
TEST_0002,1
TEST_0003,1
TEST_0004,1
TEST_0005,1
TEST_0006,1
TEST_0007,1
TEST_0008,0
TEST_0009,1
TEST_0010,1
TEST_0011,1
TEST_0012,0
TEST_0013,0
TEST_0014,1
TEST_0015,1
TEST_0016,1
TEST_0017,1
TEST_0018,1
TEST_0019,1
TEST_0020,0
TEST_0021,0
TEST_0022,1
TEST_0023,1
TEST_0024,1
TEST_0025,0
TEST_0026,0
TEST_0027,1
TEST_0028,1
TEST_0029,1
TEST_0030,1
TEST_0031,1
TEST_0032,1
TEST_0033,1
TEST_0034,0
TEST_0035,1
TEST_0036,1
TEST_0037,1
TEST_0038,1
TEST_0039,1
TEST_0040,1
TEST_0041,0
TEST_0042,1
TEST_0043,1
TEST_0044,1
TEST_0045,1
TEST_0046,1
TEST_0047,0
TEST_0048,1
TEST_0049,1
TEST_0050,0
TEST_0051,1
TEST_0052,1
TEST_0053,1
TEST_0054,1
TEST_0055,0
TEST_0056,1
TEST_0057,1
TEST_0058,1
TEST_0059,1
TEST_0060,1
TEST_0061,1
TEST_0062,0
TEST_0063,0
TEST_0064,1
TEST_0065,1
TEST_0066,0
TEST_0067,1
TEST_0068,1
TEST_0069,1
TEST_0070,0
TEST_0071,1
TEST_0072,1
TEST_0073,0
TEST_0074,1
TEST_0075,0
TEST_0076,1
TEST_0077,1
TEST_0078,1
TEST_0079,1
TEST_0080,1
TEST_0081,1
TEST_0082,1
TEST_0083,1
TEST_0084,1
TEST_0085,0
TEST_0086,0
TEST_0087,0
TEST_0088,0
TEST_0089,0
TEST_0090,1
TEST_0091,1
TEST_0092,1
TEST_0093,1
TEST_0094,1
TEST_0095,0
TEST_0096,1
TEST_0097,1
TEST_0098,1
TEST_0099,0
TEST_0100,1
TEST_0101,0
TEST_0102,1
TEST_0103,0
TEST_0104,1
TEST_0105,0
TEST_0106,1
TEST_0107,1
TEST_0108,1
TEST_0109,0
TEST_0110,1
TEST_0111,1
TEST_0112,0
TEST_0113,1
TEST_0114,1
TEST_0115,1
TEST_0116,0
TEST_0117,1
TEST_0118,1
TEST_0119,1
TEST_0120,0
TEST_0121,1
TEST_0122,1
TEST_0123,1
TEST_0124,0
TEST_0125,1
TEST_0126,0
TEST_0127,0
TEST_0128,0
TEST_0129,1
TEST_0130,0
TEST_0131,1
TEST_0132,1
TEST_0133,1
TEST_0134,0
TEST_0135,1
TEST_0136,0
TEST_0137,1
TEST_0138,1
TEST_0139,0
TEST_0140,1
TEST_0141,0
TEST_0142,1
TEST_0143,1
TEST_0144,0
TEST_0145,0
TEST_0146,1
TEST_0147,1
TEST_0148,1
TEST_0149,1
TEST_0150,1
TEST_0151,0
TEST_0152,0
TEST_0153,1
TEST_0154,0
TEST_0155,1
TEST_0156,1
TEST_0157,1
TEST_0158,1
TEST_0159,0
TEST_0160,1
TEST_0161,1
TEST_0162,1
TEST_0163,1
TEST_0164,0
TEST_0165,1
TEST_0166,1
TEST_0167,0
TEST_0168,1
TEST_0169,1
TEST_0170,0
TEST_0171,1
TEST_0172,0
TEST_0173,1
TEST_0174,1
TEST_0175,1
TEST_0176,1
TEST_0177,0
TEST_0178,0
TEST_0179,0
TEST_0180,1
TEST_0181,1
TEST_0182,1
TEST_0183,0
TEST_0184,1
TEST_0185,1
TEST_0186,1
TEST_0187,1
TEST_0188,0
TEST_0189,0
TEST_0190,1
TEST_0191,0
TEST_0192,1
TEST_0193,1
TEST_0194,1
TEST_0195,1
TEST_0196,1
TEST_0197,1
TEST_0198,0
TEST_0199,0
TEST_0200,1
TEST_0201,1
TEST_0202,0
TEST_0203,1
TEST_0204,0
TEST_0205,1
TEST_0206,0
TEST_0207,1
TEST_0208,0
TEST_0209,1
TEST_0210,1
TEST_0211,0
TEST_0212,0
TEST_0213,1
TEST_0214,1
TEST_0215,0
TEST_0216,1
TEST_0217,1
TEST_0218,1
TEST_0219,0
TEST_0220,0
TEST_0221,1
